127.0.0.1, 2020-11-01 12:35:02, GET, /, HTTP/1.1, 303, 0.000768
127.0.0.1, 2020-11-01 12:35:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.312283
127.0.0.1, 2020-11-01 12:35:03, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001420
127.0.0.1, 2020-11-01 12:35:03, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002146
127.0.0.1, 2020-11-01 12:35:03, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001906
127.0.0.1, 2020-11-01 12:35:03, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002115
127.0.0.1, 2020-11-01 12:35:03, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001915
127.0.0.1, 2020-11-01 12:35:03, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002432
127.0.0.1, 2020-11-01 12:35:03, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000292
127.0.0.1, 2020-11-01 12:35:03, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000398
127.0.0.1, 2020-11-01 12:35:03, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000439
127.0.0.1, 2020-11-01 12:35:03, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000209
127.0.0.1, 2020-11-01 12:35:03, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000288
127.0.0.1, 2020-11-01 12:35:12, GET, /examples/default/index, HTTP/1.1, 200, 0.009666
127.0.0.1, 2020-11-01 12:35:12, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000427
127.0.0.1, 2020-11-01 12:35:12, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.002225
127.0.0.1, 2020-11-01 12:35:12, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.001280
127.0.0.1, 2020-11-01 12:35:12, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.001727
127.0.0.1, 2020-11-01 12:35:12, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.002395
127.0.0.1, 2020-11-01 12:35:12, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.002300
127.0.0.1, 2020-11-01 12:35:12, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.001256
127.0.0.1, 2020-11-01 12:35:12, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000295
127.0.0.1, 2020-11-01 12:35:12, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000272
127.0.0.1, 2020-11-01 12:35:12, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000695
127.0.0.1, 2020-11-01 12:35:12, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000805
127.0.0.1, 2020-11-01 12:35:12, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000782
127.0.0.1, 2020-11-01 12:35:12, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000308
127.0.0.1, 2020-11-01 12:35:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.038392
